plan_id,title,calories,tags,ingredients,instructions
17,lentils + brown rice + spinach & broccoli,457,"Mediterranean, Low Carb","lentils, brown rice, spinach, broccoli, olive oil, salt, pepper","Cook the lentils and brown rice separately. Sauté the spinach and broccoli. Combine all and season with olive oil, salt, and pepper."
18,lentils + whole wheat pasta + carrots & cauliflower,418,"Plant-Based, Low Carb","lentils, whole wheat pasta, carrots, cauliflower, olive oil, salt, pepper","Cook the lentils and whole wheat pasta separately. Sauté the carrots and cauliflower. Combine all and season with olive oil, salt, and pepper."
19,shrimp + barley + kale & spinach,315,"High Protein, Low Carb","shrimp, barley, kale, spinach, olive oil, salt, pepper","Cook the shrimp and barley separately. Sauté the kale and spinach. Combine all and season with olive oil, salt, and pepper."
20,turkey + barley + bell peppers & kale,483,"Low Carb, Low Fat","turkey, barley, bell peppers, kale, olive oil, salt, pepper","Cook the turkey and barley separately. Sauté the bell peppers and kale. Combine all and season with olive oil, salt, and pepper."
21,shrimp + oats + carrots & cauliflower,444,"Low Carb, Mediterranean","shrimp, oats, carrots, cauliflower, olive oil, salt, pepper","Cook the shrimp and oats separately. Sauté the carrots and cauliflower. Combine all and season with olive oil, salt, and pepper."
22,chicken breast + whole wheat pasta + cauliflower & kale,333,"Mediterranean, High Protein","chicken breast, whole wheat pasta, cauliflower, kale, olive oil, salt, pepper","Cook the chicken breast and whole wheat pasta separately. Sauté the cauliflower and kale. Combine all and season with olive oil, salt, and pepper."
23,lentils + sweet potato + zucchini & carrots,445,"Plant-Based, Low Fat","lentils, sweet potato, zucchini, carrots, olive oil, salt, pepper","Cook the lentils and sweet potato separately. Sauté the zucchini and carrots. Combine all and season with olive oil, salt, and pepper."
24,chicken breast + oats + kale & spinach,403,"Low Fat, High Protein","chicken breast, oats, kale, spinach, olive oil, salt, pepper","Cook the chicken breast and oats separately. Sauté the kale and spinach. Combine all and season with olive oil, salt, and pepper."
25,shrimp + oats + cauliflower & broccoli,382,"Plant-Based, Mediterranean","shrimp, oats, cauliflower, broccoli, olive oil, salt, pepper","Cook the shrimp and oats separately. Sauté the cauliflower and broccoli. Combine all and season with olive oil, salt, and pepper."
26,turkey + oats + kale & carrots,523,"Low Fat, Low Carb","turkey, oats, kale, carrots, olive oil, salt, pepper","Cook the turkey and oats separately. Sauté the kale and carrots. Combine all and season with olive oil, salt, and pepper."
27,shrimp + quinoa + bell peppers & broccoli,396,"Low Fat, Plant-Based","shrimp, quinoa, bell peppers, broccoli, olive oil, salt, pepper","Cook the shrimp and quinoa separately. Sauté the bell peppers and broccoli. Combine all and season with olive oil, salt, and pepper."
28,turkey + whole wheat pasta + zucchini & kale,404,"Low Fat, Mediterranean","turkey, whole wheat pasta, zucchini, kale, olive oil, salt, pepper","Cook the turkey and whole wheat pasta separately. Sauté the zucchini and kale. Combine all and season with olive oil, salt, and pepper."
29,turkey + barley + zucchini & broccoli,358,"High Protein, Low Fat","turkey, barley, zucchini, broccoli, olive oil, salt, pepper","Cook the turkey and barley separately. Sauté the zucchini and broccoli. Combine all and season with olive oil, salt, and pepper."
30,chicken breast + sweet potato + cauliflower & kale,491,"Plant-Based, Low Carb","chicken breast, sweet potato, cauliflower, kale, olive oil, salt, pepper","Cook the chicken breast and sweet potato separately. Sauté the cauliflower and kale. Combine all and season with olive oil, salt, and pepper."
31,shrimp + barley + zucchini & cauliflower,336,"Mediterranean, High Protein","shrimp, barley, zucchini, cauliflower, olive oil, salt, pepper","Cook the shrimp and barley separately. Sauté the zucchini and cauliflower. Combine all and season with olive oil, salt, and pepper."
32,tofu + brown rice + carrots & spinach,534,"Mediterranean, Plant-Based","tofu, brown rice, carrots, spinach, olive oil, salt, pepper","Cook the tofu and brown rice separately. Sauté the carrots and spinach. Combine all and season with olive oil, salt, and pepper."
33,lentils + sweet potato + zucchini & spinach,456,"High Protein, Low Carb","lentils, sweet potato, zucchini, spinach, olive oil, salt, pepper","Cook the lentils and sweet potato separately. Sauté the zucchini and spinach. Combine all and season with olive oil, salt, and pepper."
34,tofu + barley + carrots & bell peppers,372,"Low Carb, Mediterranean","tofu, barley, carrots, bell peppers, olive oil, salt, pepper","Cook the tofu and barley separately. Sauté the carrots and bell peppers. Combine all and season with olive oil, salt, and pepper."
35,lentils + oats + carrots & kale,496,"Plant-Based, Low Carb","lentils, oats, carrots, kale, olive oil, salt, pepper","Cook the lentils and oats separately. Sauté the carrots and kale. Combine all and season with olive oil, salt, and pepper."
36,chicken breast + whole wheat pasta + spinach & broccoli,340,"Low Fat, Low Carb","chicken breast, whole wheat pasta, spinach, broccoli, olive oil, salt, pepper","Cook the chicken breast and whole wheat pasta separately. Sauté the spinach and broccoli. Combine all and season with olive oil, salt, and pepper."
37,lentils + sweet potato + carrots & spinach,384,"Low Fat, Mediterranean","lentils, sweet potato, carrots, spinach, olive oil, salt, pepper","Cook the lentils and sweet potato separately. Sauté the carrots and spinach. Combine all and season with olive oil, salt, and pepper."
38,turkey + barley + broccoli & zucchini,507,"Low Carb, High Protein","turkey, barley, broccoli, zucchini, olive oil, salt, pepper","Cook the turkey and barley separately. Sauté the broccoli and zucchini. Combine all and season with olive oil, salt, and pepper."
39,turkey + brown rice + carrots & kale,462,"Low Carb, Mediterranean","turkey, brown rice, carrots, kale, olive oil, salt, pepper","Cook the turkey and brown rice separately. Sauté the carrots and kale. Combine all and season with olive oil, salt, and pepper."
40,tofu + quinoa + broccoli & cauliflower,400,"Plant-Based, Low Carb","tofu, quinoa, broccoli, cauliflower, olive oil, salt, pepper","Cook the tofu and quinoa separately. Sauté the broccoli and cauliflower. Combine all and season with olive oil, salt, and pepper."
41,eggs + oats + kale & bell peppers,459,"Plant-Based, High Protein","eggs, oats, kale, bell peppers, olive oil, salt, pepper","Cook the eggs and oats separately. Sauté the kale and bell peppers. Combine all and season with olive oil, salt, and pepper."
42,lentils + oats + bell peppers & cauliflower,447,"High Protein, Low Fat","lentils, oats, bell peppers, cauliflower, olive oil, salt, pepper","Cook the lentils and oats separately. Sauté the bell peppers and cauliflower. Combine all and season with olive oil, salt, and pepper."
43,lentils + oats + spinach & kale,496,"Plant-Based, Low Carb","lentils, oats, spinach, kale, olive oil, salt, pepper","Cook the lentils and oats separately. Sauté the spinach and kale. Combine all and season with olive oil, salt, and pepper."
44,salmon + quinoa + kale & broccoli,524,"Low Fat, Mediterranean","salmon, quinoa, kale, broccoli, olive oil, salt, pepper","Cook the salmon and quinoa separately. Sauté the kale and broccoli. Combine all and season with olive oil, salt, and pepper."
45,salmon + quinoa + carrots & broccoli,421,"Mediterranean, Low Carb","salmon, quinoa, carrots, broccoli, olive oil, salt, pepper","Cook the salmon and quinoa separately. Sauté the carrots and broccoli. Combine all and season with olive oil, salt, and pepper."
46,chicken breast + brown rice + carrots & broccoli,512,"High Protein, Mediterranean","chicken breast, brown rice, carrots, broccoli, olive oil, salt, pepper","Cook the chicken breast and brown rice separately. Sauté the carrots and broccoli. Combine all and season with olive oil, salt, and pepper."
47,shrimp + brown rice + cauliflower & bell peppers,426,"Plant-Based, Mediterranean","shrimp, brown rice, cauliflower, bell peppers, olive oil, salt, pepper","Cook the shrimp and brown rice separately. Sauté the cauliflower and bell peppers. Combine all and season with olive oil, salt, and pepper."
48,lentils + brown rice + broccoli & carrots,431,"Low Carb, Plant-Based","lentils, brown rice, broccoli, carrots, olive oil, salt, pepper","Cook the lentils and brown rice separately. Sauté the broccoli and carrots. Combine all and season with olive oil, salt, and pepper."
49,eggs + sweet potato + spinach & bell peppers,382,"High Protein, Low Carb","eggs, sweet potato, spinach, bell peppers, olive oil, salt, pepper","Cook the eggs and sweet potato separately. Sauté the spinach and bell peppers. Combine all and season with olive oil, salt, and pepper."
50,turkey + brown rice + kale & bell peppers,323,"Plant-Based, Low Fat","turkey, brown rice, kale, bell peppers, olive oil, salt, pepper","Cook the turkey and brown rice separately. Sauté the kale and bell peppers. Combine all and season with olive oil, salt, and pepper."
51,turkey + brown rice + zucchini & spinach,368,"Plant-Based, Mediterranean","turkey, brown rice, zucchini, spinach, olive oil, salt, pepper","Cook the turkey and brown rice separately. Sauté the zucchini and spinach. Combine all and season with olive oil, salt, and pepper."
52,shrimp + barley + zucchini & cauliflower,461,"Mediterranean, Low Carb","shrimp, barley, zucchini, cauliflower, olive oil, salt, pepper","Cook the shrimp and barley separately. Sauté the zucchini and cauliflower. Combine all and season with olive oil, salt, and pepper."
53,lentils + brown rice + zucchini & spinach,338,"High Protein, Low Fat","lentils, brown rice, zucchini, spinach, olive oil, salt, pepper","Cook the lentils and brown rice separately. Sauté the zucchini and spinach. Combine all and season with olive oil, salt, and pepper."
54,eggs + whole wheat pasta + cauliflower & carrots,522,"Mediterranean, Plant-Based","eggs, whole wheat pasta, cauliflower, carrots, olive oil, salt, pepper","Cook the eggs and whole wheat pasta separately. Sauté the cauliflower and carrots. Combine all and season with olive oil, salt, and pepper."
55,salmon + whole wheat pasta + broccoli & cauliflower,365,"Low Fat, Mediterranean","salmon, whole wheat pasta, broccoli, cauliflower, olive oil, salt, pepper","Cook the salmon and whole wheat pasta separately. Sauté the broccoli and cauliflower. Combine all and season with olive oil, salt, and pepper."
56,salmon + sweet potato + broccoli & carrots,374,"Low Fat, Low Carb","salmon, sweet potato, broccoli, carrots, olive oil, salt, pepper","Cook the salmon and sweet potato separately. Sauté the broccoli and carrots. Combine all and season with olive oil, salt, and pepper."
57,tofu + oats + kale & broccoli,550,"High Protein, Low Carb","tofu, oats, kale, broccoli, olive oil, salt, pepper","Cook the tofu and oats separately. Sauté the kale and broccoli. Combine all and season with olive oil, salt, and pepper."
58,salmon + quinoa + carrots & bell peppers,451,"Low Carb, Mediterranean","salmon, quinoa, carrots, bell peppers, olive oil, salt, pepper","Cook the salmon and quinoa separately. Sauté the carrots and bell peppers. Combine all and season with olive oil, salt, and pepper."
59,lentils + whole wheat pasta + kale & broccoli,509,"Plant-Based, High Protein","lentils, whole wheat pasta, kale, broccoli, olive oil, salt, pepper","Cook the lentils and whole wheat pasta separately. Sauté the kale and broccoli. Combine all and season with olive oil, salt, and pepper."
60,shrimp + quinoa + carrots & cauliflower,436,"Plant-Based, Low Carb","shrimp, quinoa, carrots, cauliflower, olive oil, salt, pepper","Cook the shrimp and quinoa separately. Sauté the carrots and cauliflower. Combine all and season with olive oil, salt, and pepper."
61,tofu + whole wheat pasta + broccoli & carrots,463,"Low Carb, High Protein","tofu, whole wheat pasta, broccoli, carrots, olive oil, salt, pepper","Cook the tofu and whole wheat pasta separately. Sauté the broccoli and carrots. Combine all and season with olive oil, salt, and pepper."
62,turkey + whole wheat pasta + zucchini & bell peppers,534,"Low Fat, High Protein","turkey, whole wheat pasta, zucchini, bell peppers, olive oil, salt, pepper","Cook the turkey and whole wheat pasta separately. Sauté the zucchini and bell peppers. Combine all and season with olive oil, salt, and pepper."
63,tofu + sweet potato + zucchini & carrots,482,"Low Fat, Plant-Based","tofu, sweet potato, zucchini, carrots, olive oil, salt, pepper","Cook the tofu and sweet potato separately. Sauté the zucchini and carrots. Combine all and season with olive oil, salt, and pepper."
64,lentils + barley + carrots & broccoli,372,"Low Carb, High Protein","lentils, barley, carrots, broccoli, olive oil, salt, pepper","Cook the lentils and barley separately. Sauté the carrots and broccoli. Combine all and season with olive oil, salt, and pepper."
65,shrimp + sweet potato + zucchini & kale,469,"Low Fat, High Protein","shrimp, sweet potato, zucchini, kale, olive oil, salt, pepper","Cook the shrimp and sweet potato separately. Sauté the zucchini and kale. Combine all and season with olive oil, salt, and pepper."
66,tofu + oats + broccoli & spinach,487,"Mediterranean, High Protein","tofu, oats, broccoli, spinach, olive oil, salt, pepper","Cook the tofu and oats separately. Sauté the broccoli and spinach. Combine all and season with olive oil, salt, and pepper."
67,lentils + quinoa + carrots & broccoli,464,"Low Fat, Low Carb","lentils, quinoa, carrots, broccoli, olive oil, salt, pepper","Cook the lentils and quinoa separately. Sauté the carrots and broccoli. Combine all and season with olive oil, salt, and pepper."
68,eggs + whole wheat pasta + broccoli & bell peppers,484,"Mediterranean, Low Carb","eggs, whole wheat pasta, broccoli, bell peppers, olive oil, salt, pepper","Cook the eggs and whole wheat pasta separately. Sauté the broccoli and bell peppers. Combine all and season with olive oil, salt, and pepper."
69,salmon + barley + bell peppers & cauliflower,439,"Low Carb, Mediterranean","salmon, barley, bell peppers, cauliflower, olive oil, salt, pepper","Cook the salmon and barley separately. Sauté the bell peppers and cauliflower. Combine all and season with olive oil, salt, and pepper."
70,chicken breast + sweet potato + carrots & cauliflower,453,"Low Fat, Plant-Based","chicken breast, sweet potato, carrots, cauliflower, olive oil, salt, pepper","Cook the chicken breast and sweet potato separately. Sauté the carrots and cauliflower. Combine all and season with olive oil, salt, and pepper."
71,turkey + brown rice + cauliflower & carrots,401,"High Protein, Plant-Based","turkey, brown rice, cauliflower, carrots, olive oil, salt, pepper","Cook the turkey and brown rice separately. Sauté the cauliflower and carrots. Combine all and season with olive oil, salt, and pepper."
72,turkey + sweet potato + broccoli & carrots,314,"Low Carb, High Protein","turkey, sweet potato, broccoli, carrots, olive oil, salt, pepper","Cook the turkey and sweet potato separately. Sauté the broccoli and carrots. Combine all and season with olive oil, salt, and pepper."
73,salmon + whole wheat pasta + cauliflower & bell peppers,314,"Low Carb, Low Fat","salmon, whole wheat pasta, cauliflower, bell peppers, olive oil, salt, pepper","Cook the salmon and whole wheat pasta separately. Sauté the cauliflower and bell peppers. Combine all and season with olive oil, salt, and pepper."
74,turkey + quinoa + zucchini & bell peppers,303,"Low Fat, Mediterranean","turkey, quinoa, zucchini, bell peppers, olive oil, salt, pepper","Cook the turkey and quinoa separately. Sauté the zucchini and bell peppers. Combine all and season with olive oil, salt, and pepper."
75,chicken breast + oats + cauliflower & broccoli,462,"Plant-Based, Low Fat","chicken breast, oats, cauliflower, broccoli, olive oil, salt, pepper","Cook the chicken breast and oats separately. Sauté the cauliflower and broccoli. Combine all and season with olive oil, salt, and pepper."
76,shrimp + oats + kale & broccoli,350,"Low Carb, High Protein","shrimp, oats, kale, broccoli, olive oil, salt, pepper","Cook the shrimp and oats separately. Sauté the kale and broccoli. Combine all and season with olive oil, salt, and pepper."
77,salmon + brown rice + cauliflower & carrots,365,"High Protein, Mediterranean","salmon, brown rice, cauliflower, carrots, olive oil, salt, pepper","Cook the salmon and brown rice separately. Sauté the cauliflower and carrots. Combine all and season with olive oil, salt, and pepper."
78,chicken breast + brown rice + cauliflower & broccoli,427,"Mediterranean, High Protein","chicken breast, brown rice, cauliflower, broccoli, olive oil, salt, pepper","Cook the chicken breast and brown rice separately. Sauté the cauliflower and broccoli. Combine all and season with olive oil, salt, and pepper."
79,eggs + whole wheat pasta + bell peppers & spinach,447,"High Protein, Low Carb","eggs, whole wheat pasta, bell peppers, spinach, olive oil, salt, pepper","Cook the eggs and whole wheat pasta separately. Sauté the bell peppers and spinach. Combine all and season with olive oil, salt, and pepper."
80,turkey + oats + broccoli & cauliflower,451,"High Protein, Mediterranean","turkey, oats, broccoli, cauliflower, olive oil, salt, pepper","Cook the turkey and oats separately. Sauté the broccoli and cauliflower. Combine all and season with olive oil, salt, and pepper."
81,chicken breast + sweet potato + bell peppers & zucchini,347,"High Protein, Low Carb","chicken breast, sweet potato, bell peppers, zucchini, olive oil, salt, pepper","Cook the chicken breast and sweet potato separately. Sauté the bell peppers and zucchini. Combine all and season with olive oil, salt, and pepper."
82,shrimp + barley + spinach & carrots,461,"Low Carb, High Protein","shrimp, barley, spinach, carrots, olive oil, salt, pepper","Cook the shrimp and barley separately. Sauté the spinach and carrots. Combine all and season with olive oil, salt, and pepper."
83,eggs + sweet potato + broccoli & bell peppers,461,"Plant-Based, High Protein","eggs, sweet potato, broccoli, bell peppers, olive oil, salt, pepper","Cook the eggs and sweet potato separately. Sauté the broccoli and bell peppers. Combine all and season with olive oil, salt, and pepper."
84,eggs + barley + broccoli & kale,310,"Mediterranean, Plant-Based","eggs, barley, broccoli, kale, olive oil, salt, pepper","Cook the eggs and barley separately. Sauté the broccoli and kale. Combine all and season with olive oil, salt, and pepper."
85,chicken breast + sweet potato + broccoli & cauliflower,335,"High Protein, Low Fat","chicken breast, sweet potato, broccoli, cauliflower, olive oil, salt, pepper","Cook the chicken breast and sweet potato separately. Sauté the broccoli and cauliflower. Combine all and season with olive oil, salt, and pepper."
86,chicken breast + oats + broccoli & cauliflower,315,"Low Fat, Mediterranean","chicken breast, oats, broccoli, cauliflower, olive oil, salt, pepper","Cook the chicken breast and oats separately. Sauté the broccoli and cauliflower. Combine all and season with olive oil, salt, and pepper."
87,eggs + oats + cauliflower & spinach,301,"High Protein, Mediterranean","eggs, oats, cauliflower, spinach, olive oil, salt, pepper","Cook the eggs and oats separately. Sauté the cauliflower and spinach. Combine all and season with olive oil, salt, and pepper."
88,salmon + whole wheat pasta + cauliflower & carrots,374,"Low Fat, High Protein","salmon, whole wheat pasta, cauliflower, carrots, olive oil, salt, pepper","Cook the salmon and whole wheat pasta separately. Sauté the cauliflower and carrots. Combine all and season with olive oil, salt, and pepper."
89,tofu + whole wheat pasta + cauliflower & bell peppers,419,"Low Fat, High Protein","tofu, whole wheat pasta, cauliflower, bell peppers, olive oil, salt, pepper","Cook the tofu and whole wheat pasta separately. Sauté the cauliflower and bell peppers. Combine all and season with olive oil, salt, and pepper."
90,shrimp + brown rice + carrots & cauliflower,393,"High Protein, Mediterranean","shrimp, brown rice, carrots, cauliflower, olive oil, salt, pepper","Cook the shrimp and brown rice separately. Sauté the carrots and cauliflower. Combine all and season with olive oil, salt, and pepper."
91,eggs + quinoa + kale & bell peppers,514,"Plant-Based, Low Carb","eggs, quinoa, kale, bell peppers, olive oil, salt, pepper","Cook the eggs and quinoa separately. Sauté the kale and bell peppers. Combine all and season with olive oil, salt, and pepper."
92,tofu + brown rice + carrots & bell peppers,389,"Plant-Based, Mediterranean","tofu, brown rice, carrots, bell peppers, olive oil, salt, pepper","Cook the tofu and brown rice separately. Sauté the carrots and bell peppers. Combine all and season with olive oil, salt, and pepper."
93,turkey + barley + spinach & cauliflower,318,"Mediterranean, Low Carb","turkey, barley, spinach, cauliflower, olive oil, salt, pepper","Cook the turkey and barley separately. Sauté the spinach and cauliflower. Combine all and season with olive oil, salt, and pepper."
94,salmon + quinoa + kale & bell peppers,319,"Plant-Based, Low Fat","salmon, quinoa, kale, bell peppers, olive oil, salt, pepper","Cook the salmon and quinoa separately. Sauté the kale and bell peppers. Combine all and season with olive oil, salt, and pepper."
95,eggs + oats + carrots & zucchini,508,"Low Carb, High Protein","eggs, oats, carrots, zucchini, olive oil, salt, pepper","Cook the eggs and oats separately. Sauté the carrots and zucchini. Combine all and season with olive oil, salt, and pepper."
96,turkey + sweet potato + spinach & kale,370,"Plant-Based, Low Carb","turkey, sweet potato, spinach, kale, olive oil, salt, pepper","Cook the turkey and sweet potato separately. Sauté the spinach and kale. Combine all and season with olive oil, salt, and pepper."
97,chicken breast + barley + carrots & zucchini,342,"High Protein, Low Fat","chicken breast, barley, carrots, zucchini, olive oil, salt, pepper","Cook the chicken breast and barley separately. Sauté the carrots and zucchini. Combine all and season with olive oil, salt, and pepper."
98,tofu + whole wheat pasta + carrots & kale,483,"Low Carb, Plant-Based","tofu, whole wheat pasta, carrots, kale, olive oil, salt, pepper","Cook the tofu and whole wheat pasta separately. Sauté the carrots and kale. Combine all and season with olive oil, salt, and pepper."
99,eggs + sweet potato + carrots & kale,362,"Low Fat, Low Carb","eggs, sweet potato, carrots, kale, olive oil, salt, pepper","Cook the eggs and sweet potato separately. Sauté the carrots and kale. Combine all and season with olive oil, salt, and pepper."
100,chicken breast + barley + carrots & spinach,416,"High Protein, Low Carb","chicken breast, barley, carrots, spinach, olive oil, salt, pepper","Cook the chicken breast and barley separately. Sauté the carrots and spinach. Combine all and season with olive oil, salt, and pepper."
101,chicken breast + oats + bell peppers & cauliflower,416,"Mediterranean, Plant-Based","chicken breast, oats, bell peppers, cauliflower, olive oil, salt, pepper","Cook the chicken breast and oats separately. Sauté the bell peppers and cauliflower. Combine all and season with olive oil, salt, and pepper."
102,tofu + brown rice + zucchini & carrots,492,"Low Carb, Mediterranean","tofu, brown rice, zucchini, carrots, olive oil, salt, pepper","Cook the tofu and brown rice separately. Sauté the zucchini and carrots. Combine all and season with olive oil, salt, and pepper."
103,eggs + sweet potato + cauliflower & broccoli,360,"High Protein, Mediterranean","eggs, sweet potato, cauliflower, broccoli, olive oil, salt, pepper","Cook the eggs and sweet potato separately. Sauté the cauliflower and broccoli. Combine all and season with olive oil, salt, and pepper."
104,shrimp + quinoa + carrots & spinach,463,"Plant-Based, Low Fat","shrimp, quinoa, carrots, spinach, olive oil, salt, pepper","Cook the shrimp and quinoa separately. Sauté the carrots and spinach. Combine all and season with olive oil, salt, and pepper."
105,lentils + barley + carrots & spinach,451,"Low Fat, Low Carb","lentils, barley, carrots, spinach, olive oil, salt, pepper","Cook the lentils and barley separately. Sauté the carrots and spinach. Combine all and season with olive oil, salt, and pepper."
106,tofu + whole wheat pasta + zucchini & cauliflower,443,"Mediterranean, High Protein","tofu, whole wheat pasta, zucchini, cauliflower, olive oil, salt, pepper","Cook the tofu and whole wheat pasta separately. Sauté the zucchini and cauliflower. Combine all and season with olive oil, salt, and pepper."
107,tofu + barley + bell peppers & broccoli,369,"Plant-Based, Low Fat","tofu, barley, bell peppers, broccoli, olive oil, salt, pepper","Cook the tofu and barley separately. Sauté the bell peppers and broccoli. Combine all and season with olive oil, salt, and pepper."
108,tofu + brown rice + carrots & broccoli,343,"Plant-Based, Low Fat","tofu, brown rice, carrots, broccoli, olive oil, salt, pepper","Cook the tofu and brown rice separately. Sauté the carrots and broccoli. Combine all and season with olive oil, salt, and pepper."
109,salmon + sweet potato + cauliflower & broccoli,326,"Plant-Based, Low Carb","salmon, sweet potato, cauliflower, broccoli, olive oil, salt, pepper","Cook the salmon and sweet potato separately. Sauté the cauliflower and broccoli. Combine all and season with olive oil, salt, and pepper."
110,chicken breast + brown rice + cauliflower & spinach,460,"Low Carb, Mediterranean","chicken breast, brown rice, cauliflower, spinach, olive oil, salt, pepper","Cook the chicken breast and brown rice separately. Sauté the cauliflower and spinach. Combine all and season with olive oil, salt, and pepper."
111,chicken breast + brown rice + zucchini & broccoli,357,"Mediterranean, Low Carb","chicken breast, brown rice, zucchini, broccoli, olive oil, salt, pepper","Cook the chicken breast and brown rice separately. Sauté the zucchini and broccoli. Combine all and season with olive oil, salt, and pepper."
112,eggs + sweet potato + spinach & kale,423,"Low Fat, Plant-Based","eggs, sweet potato, spinach, kale, olive oil, salt, pepper","Cook the eggs and sweet potato separately. Sauté the spinach and kale. Combine all and season with olive oil, salt, and pepper."
113,turkey + sweet potato + zucchini & carrots,405,"Mediterranean, Low Fat","turkey, sweet potato, zucchini, carrots, olive oil, salt, pepper","Cook the turkey and sweet potato separately. Sauté the zucchini and carrots. Combine all and season with olive oil, salt, and pepper."
114,lentils + sweet potato + zucchini & spinach,519,"Low Fat, Low Carb","lentils, sweet potato, zucchini, spinach, olive oil, salt, pepper","Cook the lentils and sweet potato separately. Sauté the zucchini and spinach. Combine all and season with olive oil, salt, and pepper."
115,shrimp + quinoa + cauliflower & spinach,458,"Mediterranean, High Protein","shrimp, quinoa, cauliflower, spinach, olive oil, salt, pepper","Cook the shrimp and quinoa separately. Sauté the cauliflower and spinach. Combine all and season with olive oil, salt, and pepper."
116,eggs + brown rice + zucchini & spinach,386,"High Protein, Low Carb","eggs, brown rice, zucchini, spinach, olive oil, salt, pepper","Cook the eggs and brown rice separately. Sauté the zucchini and spinach. Combine all and season with olive oil, salt, and pepper."
117,salmon + sweet potato + zucchini & carrots,474,"Mediterranean, Plant-Based","salmon, sweet potato, zucchini, carrots, olive oil, salt, pepper","Cook the salmon and sweet potato separately. Sauté the zucchini and carrots. Combine all and season with olive oil, salt, and pepper."
